index;country;beer_servings;spirit_servings;wine_servings;total_litres_of_pure_alcohol
67;Greece;133,00;112,00;218,00;8,30
68;Grenada;199,00;438,00;28,00;11,90
69;Guatemala;53,00;69,00;2,00;2,20
70;Guinea;9,00;0,00;2,00;0,20
71;Guinea-Bissau;28,00;31,00;21,00;2,50
72;Guyana;93,00;302,00;1,00;7,10
73;Haiti;1,00;326,00;1,00;5,90
74;Honduras;69,00;98,00;2,00;3,00
75;Hungary;234,00;215,00;185,00;11,30
76;Iceland;233,00;61,00;78,00;6,60
77;India;9,00;114,00;0,00;2,20
78;Indonesia;5,00;1,00;0,00;0,10
79;Iran;0,00;0,00;0,00;0,00
80;Iraq;9,00;3,00;0,00;0,20
81;Ireland;313,00;118,00;165,00;11,40
82;Israel;63,00;69,00;9,00;2,50
83;Italy;85,00;42,00;237,00;6,50
84;Jamaica;82,00;97,00;9,00;3,40
85;Japan;77,00;202,00;16,00;7,00
86;Jordan;6,00;21,00;1,00;0,50
87;Kazakhstan;124,00;246,00;12,00;6,80
88;Kenya;58,00;22,00;2,00;1,80
89;Kiribati;21,00;34,00;1,00;1,00
90;Kuwait;0,00;0,00;0,00;0,00
91;Kyrgyzstan;31,00;97,00;6,00;2,40
92;Laos;62,00;0,00;123,00;6,20
93;Latvia;281,00;216,00;62,00;10,50
94;Lebanon;20,00;55,00;31,00;1,90
95;Lesotho;82,00;29,00;0,00;2,80
96;Liberia;19,00;152,00;2,00;3,10
97;Libya;0,00;0,00;0,00;0,00
98;Lithuania;343,00;244,00;56,00;12,90
99;Luxembourg;236,00;133,00;271,00;11,40
100;Madagascar;26,00;15,00;4,00;0,80
101;Malawi;8,00;11,00;1,00;1,50
102;Malaysia;13,00;4,00;0,00;0,30
103;Maldives;0,00;0,00;0,00;0,00
104;Mali;5,00;1,00;1,00;0,60
105;Malta;149,00;100,00;120,00;6,60
106;Marshall Islands;0,00;0,00;0,00;0,00
107;Mauritania;0,00;0,00;0,00;0,00
108;Mauritius;98,00;31,00;18,00;2,60
109;Mexico;238,00;68,00;5,00;5,50
110;Micronesia;62,00;50,00;18,00;2,30
111;Monaco;0,00;0,00;0,00;0,00
112;Mongolia;77,00;189,00;8,00;4,90
113;Montenegro;31,00;114,00;128,00;4,90
114;Morocco;12,00;6,00;10,00;0,50
115;Mozambique;47,00;18,00;5,00;1,30
116;Myanmar;5,00;1,00;0,00;0,10
117;Namibia;376,00;3,00;1,00;6,80
118;Nauru;49,00;0,00;8,00;1,00
119;Nepal;5,00;6,00;0,00;0,20
120;Netherlands;251,00;88,00;190,00;9,40
121;New Zealand;203,00;79,00;175,00;9,30
122;Nicaragua;78,00;118,00;1,00;3,50
123;Niger;3,00;2,00;1,00;0,10
124;Nigeria;42,00;5,00;2,00;9,10
125;Niue;188,00;200,00;7,00;7,00
126;Norway;169,00;71,00;129,00;6,70
127;Oman;22,00;16,00;1,00;0,70
128;Pakistan;0,00;0,00;0,00;0,00
129;Palau;306,00;63,00;23,00;6,90
130;Panama;285,00;104,00;18,00;7,20
131;Papua New Guinea;44,00;39,00;1,00;1,50
132;Paraguay;213,00;117,00;74,00;7,30
133;Peru;163,00;160,00;21,00;6,10
134;Philippines;71,00;186,00;1,00;4,60
135;Poland;343,00;215,00;56,00;10,90
136;Portugal;194,00;67,00;339,00;11,00
137;Qatar;1,00;42,00;7,00;0,90
138;South Korea;140,00;16,00;9,00;9,80
139;Moldova;109,00;226,00;18,00;6,30
140;Romania;297,00;122,00;167,00;10,40
141;Russian Federation;247,00;326,00;73,00;11,50
142;Rwanda;43,00;2,00;0,00;6,80
143;St. Kitts & Nevis;194,00;205,00;32,00;7,70
144;St. Lucia;171,00;315,00;71,00;10,10
145;St. Vincent & the Grenadines;120,00;221,00;11,00;6,30
146;Samoa;105,00;18,00;24,00;2,60
147;San Marino;0,00;0,00;0,00;0,00
148;Sao Tome & Principe;56,00;38,00;140,00;4,20
149;Saudi Arabia;0,00;5,00;0,00;0,10
150;Senegal;9,00;1,00;7,00;0,30
151;Serbia;283,00;131,00;127,00;9,60
152;Seychelles;157,00;25,00;51,00;4,10
153;Sierra Leone;25,00;3,00;2,00;6,70
154;Singapore;60,00;12,00;11,00;1,50
155;Slovakia;196,00;293,00;116,00;11,40
156;Slovenia;270,00;51,00;276,00;10,60
157;Solomon Islands;56,00;11,00;1,00;1,20
158;Somalia;0,00;0,00;0,00;0,00
159;South Africa;225,00;76,00;81,00;8,20
160;Spain;284,00;157,00;112,00;10,00
161;Sri Lanka;16,00;104,00;0,00;2,20
162;Sudan;8,00;13,00;0,00;1,70
163;Suriname;128,00;178,00;7,00;5,60
164;Swaziland;90,00;2,00;2,00;4,70
165;Sweden;152,00;60,00;186,00;7,20
166;Switzerland;185,00;100,00;280,00;10,20
167;Syria;5,00;35,00;16,00;1,00
168;Tajikistan;2,00;15,00;0,00;0,30
169;Thailand;99,00;258,00;1,00;6,40
170;Macedonia;106,00;27,00;86,00;3,90
171;Timor-Leste;1,00;1,00;4,00;0,10
172;Togo;36,00;2,00;19,00;1,30
173;Tonga;36,00;21,00;5,00;1,10
174;Trinidad & Tobago;197,00;156,00;7,00;6,40
175;Tunisia;51,00;3,00;20,00;1,30
176;Turkey;51,00;22,00;7,00;1,40
177;Turkmenistan;19,00;71,00;32,00;2,20
178;Tuvalu;6,00;41,00;9,00;1,00
179;Uganda;45,00;9,00;0,00;8,30
180;Ukraine;206,00;237,00;45,00;8,90
181;United Arab Emirates;16,00;135,00;5,00;2,80
182;United Kingdom;219,00;126,00;195,00;10,40
183;Tanzania;36,00;6,00;1,00;5,70
184;USA;249,00;158,00;84,00;8,70
185;Uruguay;115,00;35,00;220,00;6,60
186;Uzbekistan;25,00;101,00;8,00;2,40
187;Vanuatu;21,00;18,00;11,00;0,90
188;Venezuela;333,00;100,00;3,00;7,70
189;Vietnam;111,00;2,00;1,00;2,00
190;Yemen;6,00;0,00;0,00;0,10
191;Zambia;32,00;19,00;4,00;2,50
192;Zimbabwe;64,00;18,00;4,00;4,70
